49790444	48924908	0.9826
87596	86104	0.9830
3212	3160	0.9838
4064	4000	0.9843
8846676	8708024	0.9843
1284	1264	0.9844
2584	2544	0.9845
15444	15204	0.9845
3384	3332	0.9846
46188	45480	0.9847
20580	20276	0.9852
149924	147708	0.9852
88692	87384	0.9853
4892	4820	0.9853
56852	56048	0.9859
8990936	8865520	0.9861
2024	1996	0.9862
48719516	48044868	0.9862
1212	1196	0.9868
11241944	11096268	0.9870
9014344	8898572	0.9872
62740	61948	0.9874
2722112	2688248	0.9876
1964	1940	0.9878
12150788	12003176	0.9879
4020	3972	0.9881
3448	3408	0.9884
13719456	13561732	0.9885
3620	3580	0.9890
70440	69672	0.9891
22812	22572	0.9895
1916	1896	0.9896
4130184	4088316	0.9899
43865575488	43430682572	0.9901
1640	1624	0.9902
2872	2844	0.9903
90880	90016	0.9905
3356	3324	0.9905
1392036	1378796	0.9905
88614484	87788612	0.9907
39439560	39071708	0.9907
1780	1764	0.9910
8237568	8165952	0.9913
32248	31968	0.9913
3739192	3707388	0.9915
6231892	6179276	0.9916
50404	50028	0.9925
7319856	7265388	0.9926
1612	1600	0.9926
8388	8328	0.9928
47028	46696	0.9929
2832	2812	0.9929
12156104	12074324	0.9933
90100	89496	0.9933
6176	6136	0.9935
37720	37476	0.9935
14660428	14565956	0.9936
187792	186652	0.9939
3348	3328	0.9940
2751396	2735144	0.9941
37717740	37497520	0.9942
3512	3492	0.9943
602360	599000	0.9944
2359628	2346388	0.9944
962600	957464	0.9947
4702284	4678632	0.9950
5635592	5608608	0.9952
134546988	133913420	0.9953
2563268	2551748	0.9955
325769656	324325708	0.9956
10963415671	10915726404	0.9957
13063160	13010076	0.9959
11096	11052	0.9960
11096	11052	0.9960
43468	43300	0.9961
2056	2048	0.9961
4232	4216	0.9962
6282388	6259280	0.9963
47680	47504	0.9963
342972	341692	0.9963
1116	1112	0.9964
829140	826192	0.9964
6652	6628	0.9964
140904	140396	0.9964
829088	826192	0.9965
40981402676	40839048036	0.9965
1148	1144	0.9965
7295704	7271764	0.9967
11594132	11558540	0.9969
11104008	11069932	0.9969
1332	1328	0.9970
1316	1312	0.9970
7277740	7256348	0.9971
2736	2728	0.9971
2740	2732	0.9971
43452	43332	0.9972
4015256	4003872	0.9972
49008	48876	0.9973
5874768	5859468	0.9974
36209364	36121040	0.9976
1276880	1274088	0.9978
7288472	7273080	0.9979
4709148	4699132	0.9979
14974840	14946832	0.9981
18845716	18813660	0.9983
9216	9200	0.9983
3495172	3489624	0.9984
558716	557864	0.9985
10727160	10710648	0.9985
6250728	6241984	0.9986
2476996	2473532	0.9986
121092	120940	0.9987
16796	16776	0.9988
3748	3744	0.9989
108354728	108239092	0.9989
7160	7152	0.9989
45352	45308	0.9990
3108816	3105708	0.9990
5174180	5169364	0.9991
96196	96112	0.9991
6168	6164	0.9994
54372	54340	0.9994
2071080	2070016	0.9995
24632	24620	0.9995
7816	7812	0.9995
70264	70232	0.9995
115234620	115182116	0.9995
12518824	12513344	0.9996
100172	100140	0.9997
12372	12368	0.9997
17584	17580	0.9998
5616392	5615536	0.9998
58749604	58734972	0.9998
127692	127680	0.9999
35686808	35682768	0.9999
115572	115560	0.9999
17074828	17073884	0.9999
827968	827884	0.9999
332324	332300	0.9999
209184	209180	1.0000
3820	3820	1.0000
3760	3760	1.0000
2204	2204	1.0000
24628	24628	1.0000
3992	3992	1.0000
1176	1176	1.0000
12376	12376	1.0000
103591536	103591552	1.0000
1106092	1106076	1.0000
1768	1768	1.0000
4900408	4900404	1.0000
1776	1776	1.0000
1200	1200	1.0000
320136	320128	1.0000
1580	1580	1.0000
139624	139624	1.0000
1650840	1650964	1.0001
9265248	9265784	1.0001
22092	22096	1.0002
809216	809356	1.0002
14449000	14452428	1.0002
280136	280188	1.0002
160108	160144	1.0002
3000484	3001404	1.0003
160160	160208	1.0003
24628	24636	1.0003
20684	20692	1.0004
21728	21736	1.0004
10576	10580	1.0004
9049422968	9053489448	1.0004
19028	19036	1.0004
85905060	85935132	1.0004
22092	22100	1.0004
8112	8116	1.0005
1755484	1756380	1.0005
12528892	12534624	1.0005
119864	119940	1.0006
11928912	11936652	1.0006
13237272	13245648	1.0006
10684568	10690448	1.0006
45036	45068	1.0007
28784	28804	1.0007
4329816	4332812	1.0007
8006900	8012792	1.0007
32852	32876	1.0007
10056	10064	1.0008
997136	998060	1.0009
2926668	2929360	1.0009
4716240	4720340	1.0009
1022252	1023144	1.0009
139068	139212	1.0010
